ship,shipLabel,category_code,birth_year,presence,status,start_date,start_year,end_date,end_year,end_event_type,birth_date
http://www.example.com/myData/ACD_0001,HMS Royal Sovereign,ACD_0001,1848,http://www.example.com/myData/presence_ACD_0001_01,InCommission,1864-07-07,1864.0,1864-10-15,1864.0,Decommissioning,1848-06-29
http://www.example.com/myData/ACD_0001,HMS Royal Sovereign,ACD_0001,1848,http://www.example.com/myData/presence_ACD_0001_02,InNonCombatDuty,1864-10-15,1864.0,1865-07-01,1865.0,Commissioning,1848-06-29
http://www.example.com/myData/ACD_0001,HMS Royal Sovereign,ACD_0001,1848,http://www.example.com/myData/presence_ACD_0001_03,InCommission,1865-07-01,1865.0,1865-10-09,1865.0,Decommissioning,1848-06-29
http://www.example.com/myData/ACD_0001,HMS Royal Sovereign,ACD_0001,1848,http://www.example.com/myData/presence_ACD_0001_04,InNonCombatDuty,1865-10-09,1865.0,1867-07,1867.0,Recommissioning,1848-06-29
http://www.example.com/myData/ACD_0001,HMS Royal Sovereign,ACD_0001,1848,http://www.example.com/myData/presence_ACD_0001_05,InCommission,1867-07,1867.0,1869-09-03,1869.0,Decommissioning,1848-06-29
http://www.example.com/myData/ACD_0001,HMS Royal Sovereign,ACD_0001,1848,http://www.example.com/myData/presence_ACD_0001_06,InOrdinary,1869-09-03,1869.0,1885-05,1885.0,E6_Destruction,1848-06-29
http://www.example.com/myData/ACD_0002,HMS Prince Albert,ACD_0002,1862,http://www.example.com/myData/presence_ACD_0002_01,UnderFitting,1862-04-08,1862.0,1866-01-30,1866.0,Commissioning,1862-04-08
http://www.example.com/myData/ACD_0002,HMS Prince Albert,ACD_0002,1862,http://www.example.com/myData/presence_ACD_0002_02,InCommission,1866-01-30,1866.0,1866-06,1866.0,Decommissioning,1862-04-08
http://www.example.com/myData/ACD_0002,HMS Prince Albert,ACD_0002,1862,http://www.example.com/myData/presence_ACD_0002_03,InNonCombatDuty,1866-06,1866.0,1887,1887.0,Recommissioning,1862-04-08
http://www.example.com/myData/ACD_0002,HMS Prince Albert,ACD_0002,1862,http://www.example.com/myData/presence_ACD_0002_04,InCommission,1887,1887.0,1898,1898.0,Decommissioning,1862-04-08
http://www.example.com/myData/ACD_0002,HMS Prince Albert,ACD_0002,1862,http://www.example.com/myData/presence_ACD_0002_05,InOrdinary,1898,1898.0,1899-03-16,1899.0,E6_Destruction,1862-04-08
http://www.example.com/myData/AIF_0001,HMS Warrior,AIF_0001,1859,http://www.example.com/myData/presence_AIF_0001_13,InNonCombatDuty,,,,,,1859-05-25
http://www.example.com/myData/AIF_0001,HMS Warrior,AIF_0001,1859,http://www.example.com/myData/presence_AIF_0001_01,UnderFitting,1859-05-25,1859.0,1861-08-01,1861.0,Commissioning,1859-05-25
http://www.example.com/myData/AIF_0001,HMS Warrior,AIF_0001,1859,http://www.example.com/myData/presence_AIF_0001_02,InCommission,1861-08-01,1861.0,1864-11-22,1864.0,Decommissioning,1859-05-25
http://www.example.com/myData/AIF_0001,HMS Warrior,AIF_0001,1859,http://www.example.com/myData/presence_AIF_0001_03,PaidOff,1864-11-22,1864.0,1867-07-07,1867.0,Recommissioning,1859-05-25
http://www.example.com/myData/AIF_0001,HMS Warrior,AIF_0001,1859,http://www.example.com/myData/presence_AIF_0001_04,InCommission,1867-07-07,1867.0,1871-09-15,1871.0,Decommissioning,1859-05-25
http://www.example.com/myData/AIF_0001,HMS Warrior,AIF_0001,1859,http://www.example.com/myData/presence_AIF_0001_05,UnderRepair,1871-09-15,1871.0,1875-06-11,1875.0,Recommissioning,1859-05-25
http://www.example.com/myData/AIF_0001,HMS Warrior,AIF_0001,1859,http://www.example.com/myData/presence_AIF_0001_06,InCommission,1875-06-11,1875.0,1876,1876.0,,1859-05-25
http://www.example.com/myData/AIF_0001,HMS Warrior,AIF_0001,1859,http://www.example.com/myData/presence_AIF_0001_07,InNonCombatDuty,1876,1876.0,1881-04-30,1881.0,Decommissioning,1859-05-25
http://www.example.com/myData/AIF_0001,HMS Warrior,AIF_0001,1859,http://www.example.com/myData/presence_AIF_0001_08,InNonCombatDuty,1881-05-01,1881.0,1883-06,1883.0,ShipConversion,1859-05-25
http://www.example.com/myData/AIF_0001,HMS Warrior,AIF_0001,1859,http://www.example.com/myData/presence_AIF_0001_09,InNonCombatDuty,1883-06,1883.0,1884,1884.0,Decommissioning,1859-05-25
http://www.example.com/myData/AIF_0001,HMS Warrior,AIF_0001,1859,http://www.example.com/myData/presence_AIF_0001_10,InOrdinary,1884,1884.0,1902-07,1902.0,ShipConversion,1859-05-25
http://www.example.com/myData/AIF_0001,HMS Warrior,AIF_0001,1859,http://www.example.com/myData/presence_AIF_0001_11,InNonCombatDuty,1902-07,1902.0,1923,1923.0,ShipConversion,1859-05-25
